Date,Race,Gap,Step,Stake,Cost,Payout,PnL,Equity,Notes
2024-10-21,3,0,1,1.0,2.0,9.0,7.0,7.0,WIN Entry on 0
2024-12-09,2,8,2,1.7,1.0,0.0,-1.0,6.0,LOSS Entry
2024-12-09,3,9,3,2.8899999999999997,3.4,0.0,-3.4,2.6,LOSS (Stp 2)
2024-12-09,4,10,4,4.912999999999999,8.669999999999998,0.0,-8.669999999999998,-6.0699999999999985,LOSS (Stp 3)
2024-12-10,2,11,5,8.352099999999998,4.912999999999999,0.0,-4.912999999999999,-10.982999999999997,LOSS (Stp 4)
2024-12-10,3,12,6,14.198569999999997,16.704199999999997,0.0,-16.704199999999997,-27.687199999999994,LOSS (Stp 5)
2024-12-10,4,13,7,24.137568999999992,42.59570999999999,0.0,-42.59570999999999,-70.28290999999999,LOSS (Stp 6)
2024-12-11,2,14,8,41.03386729999998,24.137568999999992,0.0,-24.137568999999992,-94.42047899999997,LOSS (Stp 7)
2024-12-11,3,15,9,69.75757440999998,82.06773459999997,0.0,-82.06773459999997,-176.48821359999994,LOSS (Stp 8)
2024-12-11,4,16,10,118.58787649699995,209.27272322999994,0.0,-209.27272322999994,-385.7609368299999,LOSS (Stp 9)
2024-12-12,2,17,0,1.0,118.58787649699995,0.0,-118.58787649699995,-504.34881332699985,LOSS (Stp 10) [STOP LOSS]
2024-12-12,3,18,2,1.7,2.0,0.0,-2.0,-506.34881332699985,LOSS Entry
2024-12-13,2,19,3,2.8899999999999997,1.7,0.0,-1.7,-508.04881332699983,LOSS (Stp 2)
2024-12-13,3,0,1,1.0,5.779999999999999,26.009999999999998,20.229999999999997,-487.8188133269998,WIN on 0 (Stp 3)
2024-12-18,3,9,2,1.7,2.0,0.0,-2.0,-489.8188133269998,LOSS Entry
2024-12-18,4,0,1,1.0,5.1,15.299999999999999,10.2,-479.6188133269998,WIN on 7 (Stp 2)
2024-12-29,2,9,2,1.7,1.0,0.0,-1.0,-480.6188133269998,LOSS Entry
2024-12-29,3,0,1,1.0,3.4,15.299999999999999,11.899999999999999,-468.7188133269998,WIN on 1 (Stp 2)
2025-01-13,4,0,1,1.0,3.0,9.0,6.0,-462.7188133269998,WIN Entry on 6
2025-01-22,2,9,2,1.7,1.0,0.0,-1.0,-463.7188133269998,LOSS Entry
