Date,Bankroll,Stake,Notes
2024-08-12,2398.0,4.0,LOSS Step 1
2024-08-12,2426.0,0.0,WIN (3)
2024-08-15,2423.98,4.04,LOSS Step 1
2024-08-15,2415.9,8.08,LOSS Step 2
2024-08-15,2391.6600000000003,16.16,LOSS Step 3
2024-08-16,2520.9400000000005,0.0,WIN (1)
2024-08-19,2535.640000000001,0.0,WIN (3)
2024-08-22,2533.5300000000007,4.22,LOSS Step 1
2024-08-22,2525.0900000000006,8.44,LOSS Step 2
2024-08-22,2499.7700000000004,16.88,LOSS Step 3
2024-08-23,2482.8900000000003,33.76,LOSS Step 4
2024-08-23,2415.3700000000003,67.52,LOSS Step 5
2024-08-23,2212.8100000000004,0.0,LOSS Step 6 [STOP HIT] -> ACTIVATING COOL DOWN
2024-08-24,2212.8100000000004,0.0,COOLING DOWN
2024-08-24,2212.8100000000004,0.0,COOLING DOWN
2024-08-24,2212.8100000000004,0.0,COOLING DOWN
2024-08-24,2212.8100000000004,0.0,COOLING DOWN
2024-08-25,2212.8100000000004,0.0,COOLING DOWN
2024-08-25,2212.8100000000004,0.0,COOLING DOWN
2024-08-25,2212.8100000000004,0.0,COOLING DOWN -> END (Streak Broken)
2024-08-28,2228.8100000000004,0.0,WIN (0)
2024-08-29,2240.8100000000004,0.0,WIN (8)
2024-09-01,2238.8100000000004,4.0,LOSS Step 1
2024-09-01,2230.8100000000004,8.0,LOSS Step 2
2024-09-01,2206.8100000000004,16.0,LOSS Step 3
2024-09-02,2334.8100000000004,0.0,WIN (1)
2024-09-04,2332.8100000000004,4.0,LOSS Step 1
2024-09-04,2360.8100000000004,0.0,WIN (0)
2024-09-06,2358.8100000000004,4.0,LOSS Step 1
2024-09-06,2386.8100000000004,0.0,WIN (3)
2024-09-08,2384.8100000000004,4.0,LOSS Step 1
2024-09-08,2376.8100000000004,8.0,LOSS Step 2
2024-09-08,2352.8100000000004,16.0,LOSS Step 3
2024-09-09,2336.8100000000004,32.0,LOSS Step 4
2024-09-09,2560.8100000000004,0.0,WIN (3)
2024-09-12,2558.6800000000003,4.26,LOSS Step 1
2024-09-12,2588.5000000000005,0.0,WIN (7)
2024-09-15,2586.3400000000006,4.32,LOSS Step 1
2024-09-15,2577.7000000000007,8.64,LOSS Step 2
2024-09-16,2646.820000000001,0.0,WIN (0)
2024-09-18,2644.610000000001,4.42,LOSS Step 1
2024-09-18,2635.770000000001,8.84,LOSS Step 2
2024-09-19,2706.4900000000007,0.0,WIN (8)
2024-09-21,2704.2300000000005,4.52,LOSS Step 1
2024-09-21,2695.1900000000005,9.04,LOSS Step 2
2024-09-22,2686.1500000000005,18.08,LOSS Step 3
2024-09-22,2649.9900000000007,36.16,LOSS Step 4
2024-09-23,2613.830000000001,72.32,LOSS Step 5
2024-09-23,2469.190000000001,0.0,LOSS Step 6 [STOP HIT] -> ACTIVATING COOL DOWN
2024-09-24,2469.190000000001,0.0,COOLING DOWN
2024-09-24,2469.190000000001,0.0,COOLING DOWN
