Date,Race,Gap,Step,Stake,Cost,Payout,PnL,Equity,Notes
2024-08-12,2,6,2,4.0,2.0,0.0,-2.0,-2.0,LOSS (Stp 1)
2024-08-12,3,0,0,2.0,8.0,36.0,28.0,26.0,WIN on 3 (Stp 2)
2024-08-15,2,5,2,4.0,2.0,0.0,-2.0,24.0,LOSS (Stp 1)
2024-08-15,3,6,3,8.0,8.0,0.0,-8.0,16.0,LOSS (Stp 2)
2024-08-15,4,7,4,16.0,24.0,0.0,-24.0,-8.0,LOSS (Stp 3)
2024-08-16,2,0,0,2.0,16.0,144.0,128.0,120.0,WIN on 1 (Stp 4)
2024-08-19,3,0,0,2.0,4.0,18.0,14.0,134.0,WIN on 3 (Stp 1)
2024-08-22,2,6,2,4.0,2.0,0.0,-2.0,132.0,LOSS (Stp 1)
2024-08-22,3,7,3,8.0,8.0,0.0,-8.0,124.0,LOSS (Stp 2)
2024-08-22,4,8,4,16.0,24.0,0.0,-24.0,100.0,LOSS (Stp 3)
2024-08-23,2,10,5,32.0,16.0,0.0,-16.0,84.0,LOSS (Stp 4)
2024-08-23,3,11,6,64.0,64.0,0.0,-64.0,20.0,LOSS (Stp 5)
2024-08-23,4,12,0,2.0,192.0,0.0,-192.0,-172.0,LOSS (Stp 6) [STOP LOSS]
2024-08-24,2,14,2,4.0,2.0,0.0,-2.0,-174.0,LOSS (Stp 1)
2024-08-24,3,15,3,8.0,8.0,0.0,-8.0,-182.0,LOSS (Stp 2)
2024-08-24,4,16,4,16.0,24.0,0.0,-24.0,-206.0,LOSS (Stp 3)
2024-08-25,2,18,5,32.0,16.0,0.0,-16.0,-222.0,LOSS (Stp 4)
2024-08-25,3,0,0,2.0,64.0,288.0,224.0,2.0,WIN on 0 (Stp 5)
2024-08-28,2,0,0,2.0,2.0,18.0,16.0,18.0,WIN on 0 (Stp 1)
2024-08-29,4,0,0,2.0,6.0,18.0,12.0,30.0,WIN on 8 (Stp 1)
2024-09-01,2,6,2,4.0,2.0,0.0,-2.0,28.0,LOSS (Stp 1)
2024-09-01,3,7,3,8.0,8.0,0.0,-8.0,20.0,LOSS (Stp 2)
2024-09-01,4,8,4,16.0,24.0,0.0,-24.0,-4.0,LOSS (Stp 3)
2024-09-02,2,0,0,2.0,16.0,144.0,128.0,124.0,WIN on 1 (Stp 4)
2024-09-04,2,6,2,4.0,2.0,0.0,-2.0,122.0,LOSS (Stp 1)
2024-09-04,3,0,0,2.0,8.0,36.0,28.0,150.0,WIN on 0 (Stp 2)
2024-09-06,2,5,2,4.0,2.0,0.0,-2.0,148.0,LOSS (Stp 1)
2024-09-06,3,0,0,2.0,8.0,36.0,28.0,176.0,WIN on 3 (Stp 2)
2024-09-08,2,6,2,4.0,2.0,0.0,-2.0,174.0,LOSS (Stp 1)
2024-09-08,3,7,3,8.0,8.0,0.0,-8.0,166.0,LOSS (Stp 2)
2024-09-08,4,8,4,16.0,24.0,0.0,-24.0,142.0,LOSS (Stp 3)
2024-09-09,2,10,5,32.0,16.0,0.0,-16.0,126.0,LOSS (Stp 4)
